"filename", "language", "Markdown", "C#", "XML", "comment", "blank", "total"
"c:\Users\maxve\repos\exam_trading_system\Item.cs", "C#", 0, 19, 0, 0, 2, 21
"c:\Users\maxve\repos\exam_trading_system\Menu.cs", "C#", 0, 9, 0, 0, 2, 11
"c:\Users\maxve\repos\exam_trading_system\Program.cs", "C#", 0, 336, 0, 0, 27, 363
"c:\Users\maxve\repos\exam_trading_system\README.md", "Markdown", 2, 0, 0, 0, 3, 5
"c:\Users\maxve\repos\exam_trading_system\Trade.cs", "C#", 0, 27, 0, 0, 4, 31
"c:\Users\maxve\repos\exam_trading_system\Tradestatus.cs", "C#", 0, 7, 0, 0, 1, 8
"c:\Users\maxve\repos\exam_trading_system\User.cs", "C#", 0, 46, 0, 0, 5, 51
"c:\Users\maxve\repos\exam_trading_system\Utility.cs", "C#", 0, 50, 0, 0, 2, 52
"c:\Users\maxve\repos\exam_trading_system\WIP.md", "Markdown", 55, 0, 0, 0, 4, 59
"c:\Users\maxve\repos\exam_trading_system\exam_trading_system.csproj", "XML", 0, 0, 8, 0, 3, 11
"Total", "-", 57, 494, 8, 0, 53, 612
